CALLS,,PUTS
,"OI
","CHNG IN OI
","VOLUME
","IV
","LTP
","CHNG
","BID QTY
","BID
","ASK
","ASK QTY
","STRIKE
","BID QTY
","BID
","ASK
","ASK QTY
","CHNG
","LTP
","IV
","VOLUME
","CHNG IN OI
","OI
",
,-,-,-,-,-,-,150,"1,170.35","2,176.55",900,"23,600.00",900,367.10,-,-,100.20,505.20,19.48,2,2,2,
,-,-,-,-,-,-,-,-,"1,425.50",900,"23,650.00",900,332.50,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,150,"1,106.90","2,095.00",900,"23,700.00",300,446.85,749.95,900,97.40,534.65,19.37,5,3,3,
,-,-,-,-,-,-,-,-,"1,382.10",900,"23,750.00",900,366.50,-,-,46.90,500.90,18.22,4,2,2,
,-,-,-,-,-,-,900,"1,029.35","2,011.75",900,"23,800.00",900,471.00,563.70,900,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,"1,086.70",900,"23,850.00",900,401.50,-,-,111.15,600.00,19.61,1,1,1,
,6,6,9,8.83,916.85,-366.65,150,972.50,"1,155.95",150,"23,900.00",900,430.05,765.05,900,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"23,950.00",900,439.50,-,-,-,-,-,-,-,-,
,579,579,"1,161",10.92,932.00,-290.75,600,927.75,940.45,75,"24,000.00",75,596.55,606.70,75,54.65,599.00,18.34,"1,170",590,590,
,1,1,1,12.40,965.00,-228.05,900,833.85,-,-,"24,050.00",-,-,659.30,900,47.45,611.20,18.18,4,2,2,
,10,10,11,11.95,913.25,-250.55,150,618.00,939.25,75,"24,100.00",900,526.00,859.15,225,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,"1,085.45",900,"24,150.00",900,604.10,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,150,796.35,"1,013.80",900,"24,200.00",900,480.45,866.50,900,-,624.65,17.18,1,1,1,
,4,4,4,10.03,732.90,-345.80,-,-,922.00,900,"24,250.00",900,623.95,-,-,-,-,-,-,-,-,
,11,11,11,11.69,781.05,-270.20,150,735.90,799.35,900,"24,300.00",900,300.70,978.10,900,-,-,-,-,-,-,
,-,-,-,-,-,-,900,689.05,782.80,900,"24,350.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,300,582.25,804.80,900,"24,400.00",900,333.65,"1,094.95",900,-,-,-,-,-,-,
,-,-,-,-,-,-,900,519.40,824.60,900,"24,450.00",-,-,-,-,-,-,-,-,-,-,
,134,134,247,11.15,645.00,-301.00,300,645.45,-,-,"24,500.00",75,797.15,814.00,75,38.70,797.35,17.98,74,56,56,
,-,-,-,-,-,-,-,-,779.70,900,"24,550.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,300,548.80,953.05,900,"24,600.00",75,830.00,"1,036.20",300,23.20,830.00,17.67,1,1,1,
,-,-,-,-,-,-,-,-,720.80,900,"24,650.00",-,-,-,-,-,-,-,-,-,-,
,1,1,3,12.07,590.55,-257.35,150,398.95,610.35,900,"24,700.00",900,651.00,"1,109.95",900,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,698.05,900,"24,750.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,150,473.60,889.90,900,"24,800.00",900,455.45,"1,405.30",900,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,566.30,900,"24,850.00",-,-,"1,285.60",900,-,-,-,-,-,-,
,-,-,-,-,-,-,900,431.45,538.15,900,"24,900.00",900,740.75,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,850.85,900,"24,950.00",-,-,"1,134.10",300,-,-,-,-,-,-,
,499,499,909,11.41,428.20,-286.10,75,423.25,442.05,75,"25,000.00",600,"1,021.40","1,096.65",75,-45.75,972.15,16.30,31,21,21,
,-,-,-,-,-,-,-,-,-,-,"25,050.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,150,332.80,446.30,900,"25,100.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"25,150.00",-,-,-,-,-,-,-,-,-,-,
,105,105,127,11.62,364.30,-269.65,600,332.95,412.35,900,"25,200.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"25,250.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,900,298.95,377.35,900,"25,300.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"25,350.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,050",261.70,368.35,900,"25,400.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"25,450.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,675,233.35,397.55,900,"25,500.00",900,"1,314.70","1,430.40",225,-23.80,"1,297.00",16.77,10,4,4,
,-,-,-,-,-,-,-,-,825.00,900,"25,550.00",75,"1,245.00",-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,800",174.30,774.95,225,"25,600.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,725.00,900,"25,650.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,150,191.55,625.00,900,"25,700.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,500.00,150,"25,750.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,300.00,75,"25,800.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,420.00,150,"25,850.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,340.00,150,"25,900.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,350.00,150,"25,950.00",-,-,-,-,-,-,-,-,-,-,
,298,298,706,12.35,184.00,-194.05,75,152.00,162.25,75,"26,000.00",-,-,-,-,-,-,-,-,-,-,
